id;service;vehicule;nombre_de_personne;distance;prix
1;Adaptive JSON;Soft Computers;61756;61171;99083
2;overriding;Cambridgeshire transmit clicks-and-mortar;95079;40297;13072
3;leading-edge leverage;groupware program gold;98281;74680;22234
4;Pine;Baht Communications Intuitive;39795;16809;3224
5;sensor;SSL compress;68429;62538;2264
6;Handmade capacitor Auto Loan Account;calculating Bahraini Dinar;10944;54712;34502
7;deposit;Baby Gibraltar Clothing;82757;79352;43543
8;port;Security quantifying;62040;45687;81354
9;Turks and Caicos Islands Applications Hat;Small Rubber Computer Web portals;64400;94860;32910
10;SAS;Checking Account Gold;77741;49531;35129
