id;adresse_depart;adresse_arrivee;moyen_de_transport;prix;nombre_de_personnes;numero_client;dateheure
1;Alley Drive;benchmark;Gloves grey;26936;99738;circuit Quetzal;2020-07-24T02:01:42
2;archive;cross-media Infrastructure matrix;deliver;42594;36785;Fresh overriding RAM;2020-07-24T19:22:13
3;moratorium;Sausages Chair;copy;54815;69813;Chair;2020-07-24T04:20:34
4;Gorgeous Soft Chips;Saint Barthelemy Handcrafted;functionalities Sleek Rubber Sausages;68794;50506;open-source Computer;2020-07-24T22:29:06
5;Music;deploy Gambia;back up synthesize;79243;28491;solid state;2020-07-24T17:58:23
6;content;multi-byte navigating Illinois;Granite Refined Granite Bike Fork;82286;30252;purple connecting lavender;2020-07-24T17:35:19
7;interface strategic;Plastic plug-and-play transform;Intelligent Fresh Sausages Metrics;84323;17972;Inverse Chief;2020-07-24T19:58:05
8;transmit;RSS;Gorgeous;89096;45616;open-source;2020-07-24T10:08:20
9;override;Credit Card Account copy RAM;Direct Rial Omani Organized;75728;29291;deposit neural;2020-07-23T23:50:55
10;matrix;Trinidad and Tobago Dollar;initiatives monetize;75624;5867;users synthesizing Florida;2020-07-24T21:15:34
