id;service;animal;distance;prix
1;interface violet;Movies Netherlands Antillian Guilder Central;4445;75527
2;Corporate Home Loan Account;Practical white invoice;96107;87972
3;indexing analyzing;Configuration Home Loan Account;66309;83869
4;primary Internal Health;synergize;87462;21240
5;Swedish Krona facilitate;secondary Frozen Armenia;52802;46207
6;mission-critical;Missouri asymmetric;12304;6392
7;Soft;Technician Montana;2783;73365
8;Table;withdrawal;16902;51101
9;Gorgeous Wooden Shoes Generic;bypass;77666;58137
10;Shoals SAS Pants;Fresh Row convergence;9838;37737
