id;service;objet;distance;prix
1;monetize;ADP Tunnel system;68670;95015
2;Grass-roots International withdrawal;Rubber Virtual Customer;51702;50985
3;Money Market Account;architect;33635;23293
4;Court;Practical Jersey end-to-end;68919;99818
5;Practical;engineer Borders Security;10371;75783
6;Buckinghamshire eyeballs olive;Unbranded;37810;74644
7;Forge;Mission Handmade Fresh Hat;49570;15065
8;Valley Tanzanian Shilling;Credit Card Account;1317;77446
9;budgetary management;withdrawal Yemeni Rial auxiliary;10860;75441
10;International;Licensed;11971;20061
